#time MU_App1 MU_App2 MU_App3 MU_App4
0 1780 1682 1770 2664
5 1780 1682 1770 2664
10 1780 1682 1770 2664
15 1780 1682 1770 2665
20 1780 1682 1770 2681
25 1780 1682 1770 2681
30 1780 1682 1770 2681
35 1780 1682 1770 2681
40 1780 1682 1770 2681
45 1780 1682 1770 2681
50 1780 1682 1770 2681
55 1780 1682 1770 2681
60 1780 1682 1770 2681
65 1780 1682 1770 2681
70 1780 1682 1770 2681
75 1780 1682 1770 2681
80 1780 1682 1770 2681
85 1780 1682 1770 2681
90 1780 1682 1770 2681
95 1780 1682 1770 2681
100 1780 1682 1770 2681
105 1780 1682 1770 2681
110 1780 1682 1770 2681
115 1780 1682 1770 2681
120 1780 1682 1770 2681
125 1780 1682 1770 2681
130 1780 1682 1770 2681
135 1780 1682 1770 2681
140 1780 1682 1770 2681
145 1780 1682 1770 2681
150 1780 1682 1770 2681
155 1780 1682 1770 2681
160 1780 1682 1770 2681
165 1780 1682 1770 2681
170 1780 1682 1770 2615
175 1780 1682 1770 2615
180 1780 1682 1770 2615
185 1780 1682 1770 2615
190 1780 1682 1770 2615
195 1780 1682 1770 53436
200 1780 1682 1770 53606
205 1780 1682 1770 63118
210 1780 1682 1770 63118
215 1780 1682 1770 63118
220 1780 1682 1770 63118
225 1780 1682 1770 144254
230 1780 1682 1770 144736
235 1780 1682 1770 158219
240 1780 1682 1770 162264
245 1780 1682 1770 162264
250 1780 1682 1770 168659
255 1780 1682 1770 205194
260 1780 1682 1770 251622
265 1780 1682 1770 326837
270 1780 1682 1770 326870
275 1780 1682 1770 329785
280 1780 1682 1770 335964
285 1780 1682 1770 337352
290 1780 1682 1770 347967
295 1780 1682 1770 365674
300 1780 1682 1770 368386
305 1780 1682 1770 362990
310 1780 1682 1770 363164
315 1780 1682 1770 370339
320 1780 1682 1770 391108
325 1780 1682 1770 409060
330 1780 1682 1770 444327
335 1780 1682 1770 457321
340 1780 1682 1770 472751
345 1780 1682 1770 482570
350 0 0 0 524285
355 0 0 0 524282
